,name,lat,long,address,zipcode
451,Julie’s Mkt,34.1138921,-118.2469943,"Fletcher Dr, Los Angeles, CA, USA",90044
452,Union Plaza Market,34.05733670000001,-118.2696201,"1629 W 6th St, Los Angeles, CA 90017, USA",90017
453,International Distributors,33.9866582,-118.1412991,"6600 Bandini Blvd, Commerce, CA 90040, USA",90040
454,Eleven Union Liquor,34.0479571,-118.275407,"1605 W 11th St, Los Angeles, CA 90015, USA",90015
455,La Fiesta Market,33.98583180000001,-118.2697021,"5957 San Pedro St, Los Angeles, CA 90003, USA",90003
456,Magee’s House of Nuts,34.0722405,-118.360184,"6333 W 3rd St #218, Los Angeles, CA 90036, USA",90036
457,Navarro Mini Market,33.9793189,-118.2868668,"6600 S Hoover St, Los Angeles, CA 90044, USA",90044
458,Healthy Cuisine Integration,34.1104492,-118.2347986,"W Ave 33, Los Angeles, CA 90065, USA",90065
459,City Market,34.0455967,-118.3506398,"5107 W North Venice Blvd, Los Angeles, CA 90019, USA",90019
460,Mi Rancho Market,33.9986609,-118.2479626,"4881 Compton Ave, Los Angeles, CA 90011, USA",90011
461,Roys Market,33.9834434,-118.2740988,"6127 S Main St, Los Angeles, CA 90003, USA",90003
462,Star Market,34.0943635,-118.3261841,"Fountain Ave, California, USA",90003
463,Sunny Latino Market,33.9742353,-118.3158268,"2100 W Florence Ave, Los Angeles, CA 90047, USA",90047
464,West Florence Fish Market,33.9745633,-118.3255712,"W Florence Ave, California, USA",90047
465,Shorty Mini Market,33.9927038,-118.256261,"5504 S Central Ave #4730, Los Angeles, CA 90011, USA",90011
466,Melrose Liquor Market,34.0839357,-118.3053197,"4803 Melrose Ave, Los Angeles, CA 90029, USA",90029
467,48 St market,34.0001752,-118.3189147,"2371 W 48th St, Los Angeles, CA 90043, USA",90043
468,Wey Up Market,33.9742514,-118.3283643,"3148 W Florence Ave, Los Angeles, CA 90043, USA",90043
469,African Produce Central Market,34.0397046,-118.3393733,"4564 W Washington Blvd, Los Angeles, CA 90016, USA",90016
470,Ben’s Discount Store,30.301454,-97.6936686,"E 51st St, Austin, TX, USA",90016
471,Garcia’s Nini Mart,33.9826948,-118.2741694,"6223 S Main St, Los Angeles, CA 90003, USA",90003
472,Mi Oaxaca Market,34.0761891,-118.2928107,"3824 Beverly Blvd, Los Angeles, CA 90004, USA",90004
473,Golden Market,33.9739787,-118.3094593,"7219 S Western Ave, Los Angeles, CA 90047, USA",90047
474,Duvys Mini Market,33.9863667,-118.2653665,"5943 S Avalon Blvd, Los Angeles, CA 90003, USA",90003
475,Poblano’s Produce,34.03073790000001,-118.2432173,"1400 E Olympic Blvd # C, Los Angeles, CA 90021, USA",90021
476,Daly Nutrition,34.0747262,-118.2155231,"2432 Daly St, Lincoln Heights, CA 90031, USA",90031
477,Rivera Caribbean and African Grocery,34.03316,-118.244127,"1278 Produce Row, Los Angeles, CA 90021, USA",90021
478,Chicago Market,41.8462516,-87.6730089,"2404 S Wolcott Ave STE 22, Chicago, IL 60608, USA",60608
479,Promofood International,34.003582,-118.184379,"4306 E 26th St, Vernon, CA 90058, USA",90058
