,name,lat,long,address,zipcode
222,Madrona Marsh,33.8288656,-118.3417798,"Madrona Marsh Nature Center, 3201 Plaza del Amo, Torrance, CA 90503, USA",90503
223,The Magic Castle,34.1045794,-118.3417899,"The Magic Castle, 7001 Franklin Ave, Los Angeles, CA 90028, USA",90028
224,Malibou Lake,34.107,-118.757,"Malibou Lake, California 91301, USA",91301
225,Malibu Creek,34.0643922,-118.6994433,"Malibu Creek, California 90265, USA",90265
226,Malibu Lagoon State Beach,34.0335749,-118.68043459999998,"Malibu Lagoon State Beach, California 90265, USA",90265
227,Mariachi Plaza,34.04745689999999,-118.2192233,"1831 E 1st St, Los Angeles, CA 90033, USA",90033
228,"Marina del Rey, California",33.980289299999995,-118.45174490000001,"Marina Del Rey, CA 90292, USA",90292
229,Mark Taper Forum,34.0577524,-118.2478388,"135 N Grand Ave, Los Angeles, CA 90012, USA",90012
230,Marvin Braude Mulholland Gateway Park,34.1313765,-118.5531244,"Marvin Braude Mulholland Gateway Park, 3600 Reseda Blvd, Tarzana, CA 91356, USA",91356
231,Mary Andrews Clark Memorial Home,34.05942539999999,-118.2656061,"5153019025, Los Angeles, CA 90017, USA",90017
232,Memorial Branch,34.0572882,-118.33159009999999,"4625 W Olympic Blvd, Los Angeles, CA 90019, USA",90019
233,Mildred E. Mathias Botanical Garden,34.066584000000006,-118.44152199999999,"UCLA Mildred E. Mathias Botanical Garden, 707 Tiverton Dr, Los Angeles, CA 90095, USA",90095
234,Minnie Hill Palmer House,34.2600068,-118.61533429999999,"10385 Shadow Oak Dr, Chatsworth, CA 91311, USA",91311
235,"Miracle Mile, Los Angeles, California",34.059534,-118.3491169,"Miracle Mile, Los Angeles, CA, USA",91311
236,Mission San Fernando Rey de España,34.2729782,-118.46164309999999,"15151 San Fernando Mission Blvd, Mission Hills, CA 91345, USA",91345
237,Mission San Gabriel Arcángel,34.09672010000001,-118.1068683,"428 S Mission Dr, San Gabriel, CA 91776, USA",91776
